Raman_Shift_cm-1,Intensity_norm
162.5874125874126,4517.766497461929
162.5874125874126,4441.624365482234
167.83216783216784,4670.05076142132
167.83216783216784,4593.908629441625
167.83216783216784,4517.766497461929
167.83216783216784,4441.624365482234
167.83216783216784,4365.482233502538
173.07692307692307,4822.33502538071
173.07692307692307,4746.192893401016
173.07692307692307,4670.05076142132
173.07692307692307,4593.908629441625
173.07692307692307,4517.766497461929
173.07692307692307,4441.624365482234
173.07692307692307,4365.482233502538
173.07692307692307,4289.340101522843
178.32167832167832,4898.477157360406
178.32167832167832,4822.33502538071
178.32167832167832,4746.192893401016
178.32167832167832,4670.05076142132
178.32167832167832,4593.908629441625
178.32167832167832,4517.766497461929
178.32167832167832,4441.624365482234
178.32167832167832,4365.482233502538
183.56643356643357,5050.761421319797
183.56643356643357,4974.619289340101
183.56643356643357,4898.477157360406
183.56643356643357,4822.33502538071
183.56643356643357,4746.192893401016
183.56643356643357,4670.05076142132
183.56643356643357,4593.908629441625
183.56643356643357,4517.766497461929
183.56643356643357,4441.624365482234
188.8111888111888,5126.903553299492
188.8111888111888,5050.761421319797
188.8111888111888,4974.619289340101
188.8111888111888,4898.477157360406
188.8111888111888,4822.33502538071
188.8111888111888,4746.192893401016
188.8111888111888,4670.05076142132
188.8111888111888,4593.908629441625
194.05594405594405,5203.045685279188
194.05594405594405,5126.903553299492
194.05594405594405,5050.761421319797
194.05594405594405,4974.619289340101
194.05594405594405,4898.477157360406
194.05594405594405,4822.33502538071
194.05594405594405,4746.192893401016
199.3006993006993,5203.045685279188
199.3006993006993,5126.903553299492
199.3006993006993,5050.761421319797
199.3006993006993,4974.619289340101
199.3006993006993,4898.477157360406
199.3006993006993,4822.33502538071
204.54545454545453,5279.187817258883
204.54545454545453,5203.045685279188
204.54545454545453,5126.903553299492
204.54545454545453,5050.761421319797
204.54545454545453,4974.619289340101
209.7902097902098,5279.187817258883
209.7902097902098,5203.045685279188
209.7902097902098,5126.903553299492
209.7902097902098,5050.761421319797
209.7902097902098,4974.619289340101
215.03496503496504,5279.187817258883
215.03496503496504,5203.045685279188
215.03496503496504,5126.903553299492
215.03496503496504,5050.761421319797
220.27972027972027,5355.329949238579
220.27972027972027,5279.187817258883
220.27972027972027,5203.045685279188
220.27972027972027,5126.903553299492
220.27972027972027,5050.761421319797
225.52447552447552,5355.329949238579
225.52447552447552,5279.187817258883
225.52447552447552,5203.045685279188
225.52447552447552,5126.903553299492
225.52447552447552,5050.761421319797
230.76923076923077,5431.472081218274
230.76923076923077,5355.329949238579
230.76923076923077,5279.187817258883
230.76923076923077,5203.045685279188
230.76923076923077,5126.903553299492
236.01398601398603,5431.472081218274
236.01398601398603,5355.329949238579
236.01398601398603,5279.187817258883
236.01398601398603,5203.045685279188
236.01398601398603,5126.903553299492
241.25874125874125,5507.61421319797
241.25874125874125,5431.472081218274
241.25874125874125,5355.329949238579
241.25874125874125,5279.187817258883
241.25874125874125,5203.045685279188
246.5034965034965,5507.61421319797
246.5034965034965,5431.472081218274
246.5034965034965,5355.329949238579
246.5034965034965,5279.187817258883
246.5034965034965,5203.045685279188
251.74825174825176,5583.756345177665
251.74825174825176,5507.61421319797
251.74825174825176,5431.472081218274
251.74825174825176,5355.329949238579
251.74825174825176,5279.187817258883
256.993006993007,5659.8984771573605
256.993006993007,5583.756345177665
256.993006993007,5507.61421319797
256.993006993007,5431.472081218274
256.993006993007,5355.329949238579
256.993006993007,5279.187817258883
262.23776223776224,5659.8984771573605
262.23776223776224,5583.756345177665
262.23776223776224,5507.61421319797
262.23776223776224,5431.472081218274
262.23776223776224,5355.329949238579
267.4825174825175,5659.8984771573605
267.4825174825175,5583.756345177665
267.4825174825175,5507.61421319797
267.4825174825175,5431.472081218274
272.72727272727275,5736.040609137056
272.72727272727275,5659.8984771573605
272.72727272727275,5583.756345177665
272.72727272727275,5507.61421319797
272.72727272727275,5431.472081218274
277.97202797202794,5736.040609137056
277.97202797202794,5659.8984771573605
277.97202797202794,5583.756345177665
277.97202797202794,5507.61421319797
277.97202797202794,5431.472081218274
283.2167832167832,5736.040609137056
283.2167832167832,5659.8984771573605
283.2167832167832,5583.756345177665
283.2167832167832,5507.61421319797
283.2167832167832,5431.472081218274
288.46153846153845,5736.040609137056
288.46153846153845,5659.8984771573605
288.46153846153845,5583.756345177665
288.46153846153845,5507.61421319797
293.7062937062937,5812.1827411167515
293.7062937062937,5736.040609137056
293.7062937062937,5659.8984771573605
293.7062937062937,5583.756345177665
293.7062937062937,5507.61421319797
298.95104895104896,5812.1827411167515
298.95104895104896,5736.040609137056
298.95104895104896,5659.8984771573605
298.95104895104896,5583.756345177665
298.95104895104896,5507.61421319797
304.1958041958042,5888.324873096447
304.1958041958042,5812.1827411167515
304.1958041958042,5736.040609137056
304.1958041958042,5659.8984771573605
304.1958041958042,5583.756345177665
309.44055944055947,5888.324873096447
309.44055944055947,5812.1827411167515
309.44055944055947,5736.040609137056
309.44055944055947,5659.8984771573605
309.44055944055947,5583.756345177665
314.68531468531467,5964.4670050761415
314.68531468531467,5888.324873096447
314.68531468531467,5812.1827411167515
314.68531468531467,5736.040609137056
314.68531468531467,5659.8984771573605
319.9300699300699,6040.609137055837
319.9300699300699,5964.4670050761415
319.9300699300699,5888.324873096447
319.9300699300699,5812.1827411167515
319.9300699300699,5736.040609137056
325.1748251748252,6116.7512690355325
325.1748251748252,6040.609137055837
325.1748251748252,5964.4670050761415
325.1748251748252,5888.324873096447
325.1748251748252,5812.1827411167515
325.1748251748252,5736.040609137056
330.4195804195804,6116.7512690355325
330.4195804195804,6040.609137055837
330.4195804195804,5964.4670050761415
330.4195804195804,5888.324873096447
330.4195804195804,5812.1827411167515
335.6643356643357,6192.893401015228
335.6643356643357,6116.7512690355325
335.6643356643357,6040.609137055837
335.6643356643357,5964.4670050761415
335.6643356643357,5888.324873096447
340.90909090909093,6192.893401015228
340.90909090909093,6116.7512690355325
340.90909090909093,6040.609137055837
340.90909090909093,5964.4670050761415
340.90909090909093,5888.324873096447
346.15384615384613,6192.893401015228
346.15384615384613,6116.7512690355325
346.15384615384613,6040.609137055837
346.15384615384613,5964.4670050761415
351.3986013986014,6269.035532994923
351.3986013986014,6192.893401015228
351.3986013986014,6116.7512690355325
351.3986013986014,6040.609137055837
351.3986013986014,5964.4670050761415
356.64335664335664,6269.035532994923
356.64335664335664,6192.893401015228
356.64335664335664,6116.7512690355325
356.64335664335664,6040.609137055837
356.64335664335664,5964.4670050761415
356.64335664335664,5888.324873096447
361.8881118881119,6192.893401015228
361.8881118881119,6116.7512690355325
361.8881118881119,6040.609137055837
361.8881118881119,5964.4670050761415
361.8881118881119,5888.324873096447
361.8881118881119,5812.1827411167515
367.13286713286715,6116.7512690355325
367.13286713286715,6040.609137055837
367.13286713286715,5964.4670050761415
367.13286713286715,5888.324873096447
367.13286713286715,5812.1827411167515
372.3776223776224,6040.609137055837
372.3776223776224,5964.4670050761415
372.3776223776224,5888.324873096447
372.3776223776224,5812.1827411167515
372.3776223776224,5736.040609137056
377.6223776223776,5964.4670050761415
377.6223776223776,5888.324873096447
377.6223776223776,5812.1827411167515
377.6223776223776,5736.040609137056
377.6223776223776,5659.8984771573605
377.6223776223776,5583.756345177665
382.86713286713285,5964.4670050761415
382.86713286713285,5888.324873096447
382.86713286713285,5812.1827411167515
382.86713286713285,5736.040609137056
382.86713286713285,5659.8984771573605
382.86713286713285,5583.756345177665
382.86713286713285,5507.61421319797
388.1118881118881,5888.324873096447
388.1118881118881,5812.1827411167515
388.1118881118881,5736.040609137056
388.1118881118881,5659.8984771573605
388.1118881118881,5583.756345177665
388.1118881118881,5507.61421319797
388.1118881118881,5431.472081218274
393.35664335664336,5736.040609137056
393.35664335664336,5659.8984771573605
393.35664335664336,5583.756345177665
393.35664335664336,5507.61421319797
393.35664335664336,5431.472081218274
398.6013986013986,5659.8984771573605
398.6013986013986,5583.756345177665
398.6013986013986,5507.61421319797
398.6013986013986,5431.472081218274
403.84615384615387,5659.8984771573605
403.84615384615387,5583.756345177665
403.84615384615387,5507.61421319797
403.84615384615387,5431.472081218274
403.84615384615387,5355.329949238579
409.09090909090907,5583.756345177665
409.09090909090907,5507.61421319797
409.09090909090907,5431.472081218274
409.09090909090907,5355.329949238579
414.3356643356643,5583.756345177665
414.3356643356643,5507.61421319797
414.3356643356643,5431.472081218274
414.3356643356643,5355.329949238579
414.3356643356643,5279.187817258883
419.5804195804196,5583.756345177665
419.5804195804196,5507.61421319797
419.5804195804196,5431.472081218274
419.5804195804196,5355.329949238579
419.5804195804196,5279.187817258883
424.8251748251748,5659.8984771573605
424.8251748251748,5583.756345177665
424.8251748251748,5507.61421319797
424.8251748251748,5431.472081218274
424.8251748251748,5355.329949238579
430.0699300699301,5659.8984771573605
430.0699300699301,5583.756345177665
430.0699300699301,5507.61421319797
430.0699300699301,5431.472081218274
430.0699300699301,5355.329949238579
435.31468531468533,5659.8984771573605
435.31468531468533,5583.756345177665
435.31468531468533,5507.61421319797
435.31468531468533,5431.472081218274
435.31468531468533,5355.329949238579
440.55944055944053,5659.8984771573605
440.55944055944053,5583.756345177665
440.55944055944053,5507.61421319797
440.55944055944053,5431.472081218274
440.55944055944053,5355.329949238579
445.8041958041958,5659.8984771573605
445.8041958041958,5583.756345177665
445.8041958041958,5507.61421319797
445.8041958041958,5431.472081218274
451.04895104895104,5659.8984771573605
451.04895104895104,5583.756345177665
451.04895104895104,5507.61421319797
451.04895104895104,5431.472081218274
456.2937062937063,5736.040609137056
456.2937062937063,5659.8984771573605
456.2937062937063,5583.756345177665
456.2937062937063,5507.61421319797
456.2937062937063,5431.472081218274
461.53846153846155,5736.040609137056
461.53846153846155,5659.8984771573605
461.53846153846155,5583.756345177665
461.53846153846155,5507.61421319797
466.7832167832168,5812.1827411167515
466.7832167832168,5736.040609137056
466.7832167832168,5659.8984771573605
466.7832167832168,5583.756345177665
466.7832167832168,5507.61421319797
472.02797202797206,5888.324873096447
472.02797202797206,5812.1827411167515
472.02797202797206,5736.040609137056
472.02797202797206,5659.8984771573605
472.02797202797206,5583.756345177665
472.02797202797206,5507.61421319797
477.27272727272725,5964.4670050761415
477.27272727272725,5888.324873096447
477.27272727272725,5812.1827411167515
477.27272727272725,5736.040609137056
477.27272727272725,5659.8984771573605
477.27272727272725,5583.756345177665
482.5174825174825,6040.609137055837
482.5174825174825,5964.4670050761415
482.5174825174825,5888.324873096447
482.5174825174825,5812.1827411167515
482.5174825174825,5736.040609137056
482.5174825174825,5659.8984771573605
487.76223776223776,6116.7512690355325
487.76223776223776,6040.609137055837
487.76223776223776,5964.4670050761415
487.76223776223776,5888.324873096447
487.76223776223776,5812.1827411167515
487.76223776223776,5736.040609137056
493.006993006993,6192.893401015228
493.006993006993,6116.7512690355325
493.006993006993,6040.609137055837
